motion,joint_id,joint_label,min_logical_degrees,max_logical_degrees,span_degrees,stand_logical_degrees,frame_count,stored_duration_ms
rest,0,R1,90.0,90.0,0.0,135.0,1,160
rest,1,R2,90.0,90.0,0.0,45.0,1,160
rest,2,L1,90.0,90.0,0.0,45.0,1,160
rest,3,L2,90.0,90.0,0.0,135.0,1,160
rest,4,R4,90.0,90.0,0.0,0.0,1,160
rest,5,R3,90.0,90.0,0.0,180.0,1,160
rest,6,L3,90.0,90.0,0.0,0.0,1,160
rest,7,L4,90.0,90.0,0.0,180.0,1,160
stand,0,R1,135.0,135.0,0.0,135.0,1,160
stand,1,R2,45.0,45.0,0.0,45.0,1,160
stand,2,L1,45.0,45.0,0.0,45.0,1,160
stand,3,L2,135.0,135.0,0.0,135.0,1,160
stand,4,R4,0.0,0.0,0.0,0.0,1,160
stand,5,R3,180.0,180.0,0.0,180.0,1,160
stand,6,L3,0.0,0.0,0.0,0.0,1,160
stand,7,L4,180.0,180.0,0.0,180.0,1,160
wave,0,R1,100.0,135.0,35.0,135.0,14,4240
wave,1,R2,45.0,45.0,0.0,45.0,14,4240
wave,2,L1,45.0,45.0,0.0,45.0,14,4240
wave,3,L2,90.0,135.0,45.0,135.0,14,4240
wave,4,R4,0.0,80.0,80.0,0.0,14,4240
wave,5,R3,180.0,180.0,0.0,180.0,14,4240
wave,6,L3,0.0,180.0,180.0,0.0,14,4240
wave,7,L4,180.0,180.0,0.0,180.0,14,4240
dance,0,R1,90.0,135.0,45.0,135.0,12,4420
dance,1,R2,45.0,90.0,45.0,45.0,12,4420
dance,2,L1,45.0,90.0,45.0,45.0,12,4420
dance,3,L2,90.0,135.0,45.0,135.0,12,4420
dance,4,R4,0.0,160.0,160.0,0.0,12,4420
dance,5,R3,115.0,180.0,65.0,180.0,12,4420
dance,6,L3,0.0,65.0,65.0,0.0,12,4420
dance,7,L4,10.0,180.0,170.0,180.0,12,4420
swim,0,R1,90.0,135.0,45.0,135.0,10,4160
swim,1,R2,45.0,90.0,45.0,45.0,10,4160
swim,2,L1,45.0,90.0,45.0,45.0,10,4160
swim,3,L2,90.0,135.0,45.0,135.0,10,4160
swim,4,R4,0.0,90.0,90.0,0.0,10,4160
swim,5,R3,90.0,180.0,90.0,180.0,10,4160
swim,6,L3,0.0,90.0,90.0,0.0,10,4160
swim,7,L4,90.0,180.0,90.0,180.0,10,4160
point,0,R1,135.0,135.0,0.0,135.0,2,2320
point,1,R2,45.0,100.0,55.0,45.0,2,2320
point,2,L1,25.0,45.0,20.0,45.0,2,2320
point,3,L2,90.0,135.0,45.0,135.0,2,2320
point,4,R4,0.0,80.0,80.0,0.0,2,2320
point,5,R3,170.0,180.0,10.0,180.0,2,2320
point,6,L3,0.0,145.0,145.0,0.0,2,2320
point,7,L4,180.0,180.0,0.0,180.0,2,2320
pushup,0,R1,135.0,180.0,45.0,135.0,11,5820
